time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2007-03-25T02:19:02.310Z,37.276,136.828,10,4.5,mb,15,73.7,,0.8,us,usp000f7bk,2014-11-07T01:31:55.521Z,"27 km NNW of Nanao, Japan",earthquake,,,,3,reviewed,us,us
2007-03-25T02:38:16.030Z,37.239,136.692,10,3.9,mb,12,122.2,,0.85,us,usp000f7bm,2014-11-07T01:31:55.523Z,"32 km NW of Nanao, Japan",earthquake,,,,2,reviewed,us,us
2007-03-25T02:58:07.760Z,37.162,136.603,10,3.9,mb,15,78.2,,1.16,us,usp000f7bp,2014-11-07T01:31:55.526Z,"34 km WNW of Nanao, Japan",earthquake,,,,3,reviewed,us,us
2007-03-25T03:40:42.410Z,37.454,136.862,10,3.4,mb,6,184.8,,1.65,us,usp000f7bt,2014-11-07T01:31:55.536Z,"45 km NNW of Nanao, Japan",earthquake,,,,1,reviewed,us,us
2007-03-25T05:21:04.830Z,37.214,136.574,10,4.1,mb,23,66.5,,1.1,us,usp000f7c1,2014-11-07T01:31:55.580Z,"near the west coast of Honshu, Japan",earthquake,,,,8,reviewed,us,us
2007-03-25T06:43:31.160Z,37.255,136.839,12.4,4,mwr,23,71.6,,0.86,us,usp000f7c4,2014-11-07T01:31:55.588Z,"25 km NNW of Nanao, Japan",earthquake,,11.6,,,reviewed,us,nied
2007-03-25T06:57:00.220Z,37.229,136.734,11.4,3.9,m,4,296.7,,,us,usp000f7c6,2014-11-07T01:31:55.592Z,"28 km NW of Nanao, Japan",earthquake,,,,,reviewed,jma,jma
2007-03-25T09:11:45.210Z,37.264,136.69,14.2,5.2,mwc,266,66.1,,0.71,us,usp000f7cd,2022-07-14T07:10:01.520Z,"34 km NW of Nanao, Japan",earthquake,,,,,reviewed,us,gcmt
2007-03-25T09:41:05.870Z,37.228,136.677,4.7,3.6,m,6,173.5,,1.11,us,usp000f7cg,2014-11-07T01:31:55.633Z,"near the west coast of Honshu, Japan",earthquake,,26.1,,,reviewed,us,jma
2007-03-25T17:14:54.410Z,36.924,136.691,14.6,4,mb,15,82.8,,0.69,us,usp000f7dn,2014-11-07T01:31:55.786Z,"9 km WNW of Hakui, Japan",earthquake,,10.7,,2,reviewed,us,us
